dpr_idobjetoa,dpr_idobjetob,dpr_latitudobja,dpr_longitudobja,dpr_altitudobja,dpr_velocidadobja,dpr_direccionobja,dpr_latitudobjb,dpr_longitudobjb,dpr_altitudobjb,dpr_velocidadobjb,dpr_direccionobjb,dpr_distanciaentreobj,dpr_tiporegistro,dpr_etiquetaregistro
3,17,-36.777871,-73.067054,0.0,7.3,260.1,-36.779782,-73.064231,0.0,124.6,323.6,0.3291904421092351,1,1
3,20,-36.776472,-73.065526,0.0,201.9,190.6,-36.775178,-73.064864,0.0,198.4,260.6,0.15549816717805398,1,1
3,20,-36.775462,-73.065667,0.0,127.5,84.3,-36.77915,-73.068146,0.0,240.2,176.3,0.4657455708727247,1,1
9,16,-36.777907,-73.066133,0.0,111.1,37.2,-36.776314,-73.065919,0.0,154.8,64.5,0.17815598275602354,1,1
9,20,-36.776287,-73.067257,0.0,163.2,22.6,-36.775477,-73.065649,0.0,158.3,168.1,0.16918431646834545,1,1
1,19,-36.778711,-73.065051,0.0,153.2,188.8,-36.777711,-73.065714,0.0,226.5,306.8,0.12590090046366154,1,1
8,18,-36.780135,-73.064246,0.0,58.8,149.8,-36.777864,-73.064651,0.0,158.5,243.4,0.25508675282148907,1,1
10,15,-36.77843,-73.066514,0.0,274.5,168.7,-36.775205,-73.064564,0.0,233.5,283.3,0.3984465426601068,1,1
5,13,-36.779197,-73.065641,0.0,250.8,206.6,-36.776998,-73.065379,0.0,50.4,333.3,0.24562852816212274,1,1
1,16,-36.775319,-73.063972,0.0,124.2,102.4,-36.779101,-73.067554,0.0,278.3,206.1,0.5278551412033666,1,1
2,17,-36.776795,-73.066738,0.0,174.9,301.3,-36.77809,-73.064977,0.0,122.0,80.5,0.2129185158650702,1,1
9,17,-36.775759,-73.066141,0.0,101.0,283.9,-36.777901,-73.064769,0.0,225.3,220.9,0.26769641510362446,1,1
1,20,-36.776703,-73.066118,0.0,219.2,226.8,-36.779172,-73.066445,0.0,156.9,277.0,0.2760806845215425,1,1
7,20,-36.778757,-73.068078,0.0,291.3,58.0,-36.775708,-73.06798,0.0,229.5,192.1,0.33914566490482323,1,1
10,12,-36.778264,-73.067614,0.0,162.9,310.4,-36.77676,-73.067039,0.0,148.4,127.1,0.17490249906311167,1,1
10,21,-36.779622,-73.068139,0.0,10.6,200.9,-36.779034,-73.064161,0.0,38.2,70.9,0.3602684125362552,1,1
5,15,-36.77939,-73.065178,0.0,158.8,168.2,-36.778016,-73.06575,0.0,37.9,98.2,0.16105131149535984,1,1
5,11,-36.775702,-73.065465,0.0,293.0,55.8,-36.776848,-73.064924,0.0,42.7,111.2,0.1362349213399483,1,1
6,15,-36.775779,-73.06534,0.0,281.6,187.4,-36.779795,-73.065754,0.0,162.7,211.2,0.4480784948011357,1,1
6,18,-36.776906,-73.066756,0.0,155.1,77.0,-36.775634,-73.064895,0.0,231.0,339.7,0.21789496100118022,1,1
3,15,-36.776672,-73.066624,0.0,233.3,260.4,-36.779229,-73.065646,0.0,53.8,139.1,0.2973684078480547,1,1
3,20,-36.778958,-73.064848,0.0,19.9,248.0,-36.776569,-73.064425,0.0,196.9,215.9,0.2683028199965538,1,1
8,19,-36.777068,-73.067779,0.0,229.5,279.1,-36.776044,-73.064912,0.0,23.9,299.2,0.2795845143808592,1,1
7,16,-36.778974,-73.065472,0.0,61.0,348.8,-36.777831,-73.065199,0.0,45.7,68.4,0.12940059717203398,1,1
2,17,-36.776492,-73.067291,0.0,201.8,19.3,-36.779801,-73.065345,0.0,26.5,128.2,0.4067200675430672,1,1
3,14,-36.779725,-73.065167,0.0,281.6,246.8,-36.776571,-73.065587,0.0,121.9,167.5,0.3526980211326907,1,1
7,18,-36.778838,-73.067786,0.0,2.7,170.3,-36.777666,-73.068427,0.0,215.0,304.8,0.14227643832548628,1,1
3,13,-36.778018,-73.067763,0.0,18.5,153.9,-36.776827,-73.0655,0.0,228.4,261.3,0.24116639866406916,1,1
8,12,-36.778315,-73.064342,0.0,276.3,294.7,-36.776229,-73.067149,0.0,130.9,212.6,0.3410320996765834,1,1
2,13,-36.778163,-73.068453,0.0,237.4,222.8,-36.776356,-73.066289,0.0,50.0,290.4,0.278422140899428,1,1
9,21,-36.778809,-73.06814,0.0,20.8,233.6,-36.779442,-73.06518,0.0,86.8,220.5,0.2728568609572171,1,1
7,12,-36.779394,-73.067543,0.0,188.0,119.6,-36.778562,-73.067832,0.0,80.0,170.6,0.09602791641109405,1,1
4,13,-36.776806,-73.066289,0.0,173.5,343.1,-36.775484,-73.065788,0.0,281.7,10.3,0.15362289345278707,1,1
9,13,-36.777622,-73.068167,0.0,249.2,43.3,-36.776782,-73.06526,0.0,257.0,306.6,0.2752413412869149,1,1
1,15,-36.777797,-73.067861,0.0,149.7,221.2,-36.778735,-73.06673,0.0,287.5,172.9,0.1450004875358451,1,1
1,17,-36.780287,-73.066994,0.0,4.9,339.3,-36.775504,-73.063992,0.0,277.2,300.6,0.5952684855446988,1,1
10,15,-36.779464,-73.066795,0.0,194.7,283.3,-36.779287,-73.068291,0.0,241.6,196.2,0.13468143688474962,1,1
2,16,-36.778518,-73.067738,0.0,223.0,145.4,-36.777492,-73.064785,0.0,264.8,257.8,0.2866809163803607,1,1
8,20,-36.775208,-73.065522,0.0,223.0,23.1,-36.775858,-73.067832,0.0,260.7,151.7,0.21806787474108544,1,1
8,16,-36.778116,-73.06752,0.0,248.2,7.4,-36.775953,-73.066444,0.0,174.3,98.4,0.25890387106788054,1,1
1,12,-36.779117,-73.067622,0.0,296.5,272.7,-36.778293,-73.067507,0.0,95.1,262.5,0.09219529366299038,1,1
10,16,-36.778532,-73.068515,0.0,253.8,89.3,-36.779941,-73.065032,0.0,108.6,71.7,0.34752151167359907,1,1
8,18,-36.776762,-73.068156,0.0,129.4,85.9,-36.777197,-73.064396,0.0,160.5,44.9,0.338355926276691,1,1
3,16,-36.778866,-73.068409,0.0,114.0,45.5,-36.776596,-73.068354,0.0,264.5,30.7,0.2524600104125367,1,1
4,13,-36.779259,-73.065461,0.0,110.2,241.4,-36.776222,-73.066795,0.0,115.0,257.7,0.3579894953484013,1,1
1,21,-36.778991,-73.067075,0.0,63.6,188.8,-36.776311,-73.066969,0.0,136.9,307.1,0.2981519064496105,1,1
5,18,-36.779273,-73.06552,0.0,225.9,16.9,-36.776821,-73.064357,0.0,200.2,61.7,0.29166216764901093,1,1
10,20,-36.777914,-73.066133,0.0,195.6,335.1,-36.776063,-73.066224,0.0,217.8,334.9,0.20598132278927297,1,1
10,12,-36.778439,-73.068316,0.0,117.2,148.4,-36.775308,-73.066661,0.0,81.6,219.5,0.37806935859543156,1,1
7,13,-36.775634,-73.064888,0.0,136.5,103.5,-36.775466,-73.065715,0.0,12.1,6.3,0.07598928194870296,1,1
6,15,-36.776324,-73.067749,0.0,121.9,335.4,-36.77858,-73.066574,0.0,233.2,11.5,0.27180902133721135,1,1
5,21,-36.777361,-73.066446,0.0,107.6,207.5,-36.775759,-73.065287,0.0,249.1,226.9,0.20588195076112645,1,1
7,21,-36.776633,-73.063861,0.0,96.9,280.7,-36.775943,-73.064778,0.0,219.0,162.0,0.11205818542808801,1,1
7,11,-36.776718,-73.067057,0.0,1.7,95.1,-36.776177,-73.068182,0.0,218.6,348.0,0.11686908067404787,1,1
4,18,-36.779691,-73.064923,0.0,189.4,61.6,-36.777954,-73.065498,0.0,154.8,57.3,0.19981927230062768,1,1
10,15,-36.775523,-73.067555,0.0,26.8,242.1,-36.779548,-73.064835,0.0,80.4,341.3,0.5089162926812074,1,1
9,16,-36.775623,-73.06541,0.0,236.8,150.1,-36.775704,-73.067625,0.0,65.4,210.4,0.19748568798216143,1,1
8,19,-36.77624,-73.064624,0.0,196.8,60.3,-36.777518,-73.064111,0.0,246.2,180.4,0.1492715635906151,1,1
4,15,-36.775649,-73.06761,0.0,259.8,96.5,-36.778023,-73.06399,0.0,114.8,12.0,0.41669348116157817,1,1
2,12,-36.77924,-73.06564,0.0,27.8,137.6,-36.777141,-73.067661,0.0,60.0,192.9,0.29474241686284436,1,1
2,13,-36.779305,-73.064623,0.0,219.8,240.7,-36.778282,-73.065887,0.0,12.9,285.5,0.1600392902317876,1,1
9,11,-36.778294,-73.066344,0.0,259.7,231.0,-36.777757,-73.06755,0.0,30.0,130.9,0.12289156694189496,1,1
6,20,-36.778791,-73.066352,0.0,195.1,14.3,-36.776193,-73.068103,0.0,35.2,219.7,0.3282904634594273,1,1
8,15,-36.77964,-73.067889,0.0,88.1,72.3,-36.779653,-73.064751,0.0,188.2,5.8,0.2794769119342026,1,1
3,18,-36.777834,-73.066385,0.0,295.9,192.5,-36.776118,-73.068294,0.0,228.0,176.1,0.2555710103309187,1,1
10,21,-36.775867,-73.064884,0.0,248.1,286.2,-36.777929,-73.066283,0.0,157.1,213.8,0.2609529813453947,1,1
